goodreads_id,title,author,isbn,isbn13,rating,status,date_read,date_added,favorite,review
6315202,Cell,Stephen King,1416524517,9781416524519,2,read,2025/07/21,2025/07/14,false,"King's writing itself is worth the read but the plot wasn't plotting, which is sad.<br/><br/>There are some interesting bits here and the first half of the book had a good pace to it, but it quickly fell apart when King tried to tie in everything together<br/><br/>Without revealing much of the story, the thriller / terror / horror aspect of the book was very good, but the journey part of it, not so much; it felt long, non-cohesive and not entertaining.<br/>The resolution also left a bitter taste - after so many pages describing the journey of the character, stuff just ends in a flat dull note"
6499551,As Intermitências da Morte,José Saramago,9896530106,9789896530105,0,to-read,,2025/07/18,false,
394535,"Blood Meridian, or, the Evening Redness in the West",Cormac McCarthy,,,5,read,2023/12/08,2023/07/10,false,"Blood Meridian is raw, harsh, poetic, long, boring, repetitive, detached, confusing, brave, glorious, epic and biblical.<br/><br/>I can’t get into meaningful discussions about the whys and hows of the book but I can say that my reading took me through all the feelings above.<br/>As non-native English speaker, Blood Meridian was a hard book to read; the vocabulary and the flow of the phrases mean that it’s very easy for a person to call quits very early when trying. However, I persisted and I enjoyed it; I didn’t LOVE it because I feel like there’s a lot that I missed but I learned that at certain excerpts it was just better for me to ‘let go’ and let the story flow.<br/><br/>Anyway, it’s a good book. The characters aren’t particularly important nor is their journey. I feel like the main message could be summarised to a single phrase but I wouldn’t consider the length of the book unnecessary; for me it strengthened the meaning that I took from it."
394469,Suttree,Cormac McCarthy,0679736328,9780679736325,0,to-read,,2025/07/18,false,
60526802,"Stella Maris (The Passenger, #2)",Cormac McCarthy,0307269000,9780307269003,0,to-read,,2025/07/18,false,
40470,"Cities of the Plain (The Border Trilogy, #3)",Cormac McCarthy,0679747192,9780679747192,0,to-read,,2025/07/18,false,
365990,"The Crossing (The Border Trilogy, #2)",Cormac McCarthy,,,0,to-read,,2025/07/18,false,
6288,The Road,Cormac McCarthy,0307265439,9780307265432,0,to-read,,2025/07/18,false,
87040,Gathering Moss: A Natural and Cultural History of Mosses,Robin Wall Kimmerer,0870714996,9780870714993,0,to-read,,2025/07/17,false,
1683,The Confessions of Saint Augustine,Augustine of Hippo,1591094003,9781591094005,0,to-read,,2025/07/14,false,
65213662,"Extinction (Cash & Colcord, #1)",Douglas Preston,0765317702,9780765317704,0,to-read,,2025/07/12,false,
25454056,"Sword of Destiny (The Witcher, #0.7)",Andrzej Sapkowski,,,4,read,2025/07/12,2025/07/05,false,"The Last Wish was definitely more interesting than this one; and the editing of the stories felt weird, especially when Geralt was reminiscing / delirious about the past<br/>Still fun, tho"
